year,variable,units,value
1994,total north slope wellhead value,millions of dollars,5591.3
1995,price per barrel of oil,dollars,16.9
1996,price per barrel of oil,dollars,17.9
1997,price per barrel of oil,dollars,20.7
1998,price per barrel of oil,dollars,15.4
1999,price per barrel of oil,dollars,13
2000,price per barrel of oil,dollars,24.4
2001,price per barrel of oil,dollars,27.6
1995,production,millions of barrels,599
1996,production,millions of barrels,558.5
1997,production,millions of barrels,512.4
1998,production,millions of barrels,469.9
1999,production,millions of barrels,420.2
2000,production,millions of barrels,377.7
2001,production,millions of barrels,369.7
1995,total north slope wellhead value,millions of dollars,6598
1996,total north slope wellhead value,millions of dollars,6807
1997,total north slope wellhead value,millions of dollars,8347.6
1998,total north slope wellhead value,millions of dollars,5404.8
1999,total north slope wellhead value,millions of dollars,3565
2000,total north slope wellhead value,millions of dollars,7161.1
2001,total north slope wellhead value,millions of dollars,8265.6
2002,price per barrel of oil,dollars,21.7
2003,price per barrel of oil,dollars,28.6
2004,price per barrel of oil,dollars,32.4
2005,price per barrel of oil,dollars,44.8
2006,price per barrel of oil,dollars,62.1
2007,price per barrel of oil,dollars,61.6
2008,price per barrel of oil,dollars,96.5
2009,price per barrel of oil,dollars,68.3
2010,price per barrel of oil,dollars,74.9
2011,price per barrel of oil,dollars,94.5
2012,price per barrel of oil,dollars,112.7
2002,production,millions of barrels,380.2
2003,production,millions of barrels,371
2004,production,millions of barrels,365.6
2005,production,millions of barrels,340
2006,production,millions of barrels,313.2
2007,production,millions of barrels,273.9
2008,production,millions of barrels,266.9
2009,production,millions of barrels,256.5
2010,production,millions of barrels,237.8
2011,production,millions of barrels,222.7
2012,production,millions of barrels,216
2002,total north slope wellhead value,millions of dollars,6298.3
2003,total north slope wellhead value,millions of dollars,8352.1
2004,total north slope wellhead value,millions of dollars,9522.7
2005,total north slope wellhead value,millions of dollars,12910.7
2006,total north slope wellhead value,millions of dollars,16956.4
2007,total north slope wellhead value,millions of dollars,14918.7
2008,total north slope wellhead value,millions of dollars,23703.9
2009,total north slope wellhead value,millions of dollars,15666
2010,total north slope wellhead value,millions of dollars,16391.8
2011,total north slope wellhead value,millions of dollars,19230
2012,total north slope wellhead value,millions of dollars,22112
2013,price per barrel of oil,dollars,107.6
2014,price per barrel of oil,dollars,107.6
2015,price per barrel of oil,dollars,72.6
2016,price per barrel of oil,dollars,43.2
2017,price per barrel of oil,dollars,49.4
2018,price per barrel of oil,dollars,63.6
2013,production,millions of barrels,198.5
2014,production,millions of barrels,199.5
2015,production,millions of barrels,189.5
2016,production,millions of barrels,194.4
2017,production,millions of barrels,197.3
2018,production,millions of barrels,194.9
2013,total north slope wellhead value,millions of dollars,18979.9
2014,total north slope wellhead value,millions of dollars,18806.4
2015,total north slope wellhead value,millions of dollars,11488.6
2016,total north slope wellhead value,millions of dollars,6272.9
2017,total north slope wellhead value,millions of dollars,7633.4
2018,total north slope wellhead value,millions of dollars,8741.2
2019,price per barrel of oil,dollars,69.46
2019,production,millions of barrels,181.4
2020,price per barrel of oil,dollars,52.12
2020,production,millions of barrels,172.2
2021,price per barrel of oil,dollars,54.14
2021,production,millions of barrels,177.4
